Posicion_X_nm,Posicion_Y_nm,Posicion_Z_nm,Fuerza_X_N,Fuerza_Y_N,Fuerza_Z_N,Fuerza_Magnitud_N
-250,-250,0,2.1780995871654e-21,2.1780995871654e-21,1.29666116985935e-24,3.08029824928534e-21
-250,-240,0,5.80344610674802e-21,5.5713082624781e-21,3.45489694767513e-24,8.04484147797819e-21
-250,-230,0,1.48567013323349e-20,1.36681652257481e-20,8.84447198823636e-24,2.01876297108213e-20
-250,-220,0,3.65415566606473e-20,3.21565698613696e-20,2.17538908186883e-23,4.86757724300726e-20
-250,-210,0,8.63534933194338e-20,7.25369343883244e-20,5.14079397176453e-23,1.12776483815119e-19
-250,-200,0,1.96065415555162e-19,1.56852332444129e-19,1.16721718776297e-22,2.51086270022758e-19
-250,-190,0,4.27710876847331e-19,3.25060266403972e-19,2.54625192290828e-22,5.37215818644726e-19
-250,-180,0,8.96453596339377e-19,6.45446589364351e-19,5.33677983405567e-22,1.10464050030952e-18
-250,-170,0,1.80523420255656e-18,1.22755925773846e-18,1.07469548399728e-21,2.18306514156353e-18
-250,-160,0,3.49275010621437e-18,2.2353600679772e-18,2.07931258424925e-21,4.14682315290975e-18
-250,-150,0,6.49276523202551e-18,3.8956591392153e-18,3.86529247061651e-21,7.57180133308032e-18
-250,-140,0,1.15963178618361e-17,6.49393800262824e-18,6.9035608985969e-21,1.32908188759712e-17
-250,-130,0,1.98993435997396e-17,1.03476586718646e-17,1.18465578754839e-20,2.24289557498971e-17
-250,-120,0,3.28084431233063e-17,1.5748052699187e-17,1.95316719538628e-20,3.63922448535097e-17
-250,-110,0,5.19709585679021e-17,2.28672217698769e-17,3.09396134255223e-20,5.67793212639867e-17
-250,-100,0,7.90977389721121e-17,3.16390955888448e-17,4.70889021792977e-20,8.51908850614028e-17
-250,-90,0,1.15663319300943e-16,4.16387949483394e-17,6.88573759901003e-20,1.22930050914331e-16
-250,-80,0,1.62500790160792e-16,5.20002528514534e-17,9.67410044897486e-20,1.70618118786718e-16
-250,-70,0,2.19352985199757e-16,6.14188358559321e-17,1.30586696964153e-19,2.27789425932874e-16
-250,-60,0,2.84485326510954e-16,6.82764783626289e-17,1.69361816211026e-19,2.92563851459936e-16
-250,-50,0,3.54490372647534e-16,7.08980745295067e-17,2.11037818230483e-19,3.6151072710051e-16
-250,-40,0,4.24401855870633e-16,6.79042969393013e-17,2.52658140260792e-19,4.29799944910879e-16
-250,-30,0,4.88178177003929e-16,5.85813812404716e-17,2.90626038809906e-19,4.91680582486654e-16
-250,-20,0,5.39520197564511e-16,4.31616158051609e-17,3.21191446128175e-19,5.41244003960235e-16
-250,-10,0,5.72882182009018e-16,2.29152872803607e-17,3.41052815936614e-19,5.7334040601686e-16
-250,0,0,5.84455141960986e-16,0,3.47942539838419e-19,5.84455245530953e-16
-250,10,0,5.72882182009018e-16,-2.29152872803607e-17,3.41052815936614e-19,5.7334040601686e-16
-250,20,0,5.39520197564511e-16,-4.31616158051609e-17,3.21191446128175e-19,5.41244003960235e-16
-250,30,0,4.88178177003929e-16,-5.85813812404716e-17,2.90626038809906e-19,4.91680582486654e-16
-250,40,0,4.24401855870633e-16,-6.79042969393013e-17,2.52658140260792e-19,4.29799944910879e-16
-250,50,0,3.54490372647534e-16,-7.08980745295067e-17,2.11037818230483e-19,3.6151072710051e-16
-250,60,0,2.84485326510954e-16,-6.82764783626289e-17,1.69361816211026e-19,2.92563851459936e-16
-250,70,0,2.19352985199757e-16,-6.14188358559321e-17,1.30586696964153e-19,2.27789425932874e-16
-250,80,0,1.62500790160792e-16,-5.20002528514534e-17,9.67410044897486e-20,1.70618118786718e-16
-250,90,0,1.15663319300943e-16,-4.16387949483394e-17,6.88573759901003e-20,1.22930050914331e-16
-250,100,0,7.90977389721121e-17,-3.16390955888448e-17,4.70889021792977e-20,8.51908850614028e-17
-250,110,0,5.19709585679021e-17,-2.28672217698769e-17,3.09396134255223e-20,5.67793212639867e-17
-250,120,0,3.28084431233063e-17,-1.5748052699187e-17,1.95316719538628e-20,3.63922448535097e-17
-250,130,0,1.98993435997396e-17,-1.03476586718646e-17,1.18465578754839e-20,2.24289557498971e-17
-250,140,0,1.15963178618361e-17,-6.49393800262824e-18,6.9035608985969e-21,1.32908188759712e-17
-250,150,0,6.49276523202551e-18,-3.8956591392153e-18,3.86529247061651e-21,7.57180133308032e-18
-250,160,0,3.49275010621437e-18,-2.2353600679772e-18,2.07931258424925e-21,4.14682315290975e-18
-250,170,0,1.80523420255656e-18,-1.22755925773846e-18,1.07469548399728e-21,2.18306514156353e-18
-250,180,0,8.96453596339377e-19,-6.45446589364351e-19,5.33677983405567e-22,1.10464050030952e-18
-250,190,0,4.27710876847331e-19,-3.25060266403972e-19,2.54625192290828e-22,5.37215818644726e-19
-250,200,0,1.96065415555162e-19,-1.56852332444129e-19,1.16721718776297e-22,2.51086270022758e-19
-250,210,0,8.63534933194338e-20,-7.25369343883244e-20,5.14079397176453e-23,1.12776483815119e-19
-250,220,0,3.65415566606473e-20,-3.21565698613696e-20,2.17538908186883e-23,4.86757724300726e-20
-250,230,0,1.48567013323349e-20,-1.36681652257481e-20,8.84447198823636e-24,2.01876297108213e-20
-250,240,0,5.80344610674802e-21,-5.5713082624781e-21,3.45489694767513e-24,8.04484147797819e-21
-250,250,0,2.1780995871654e-21,-2.1780995871654e-21,1.29666116985935e-24,3.08029824928534e-21
-240,-250,0,5.5713082624781e-21,5.80344610674802e-21,3.45489694767513e-24,8.04484147797819e-21
-240,-240,0,1.48444936587213e-20,1.48444936587213e-20,9.20542173739682e-24,2.09932862769844e-20
-240,-230,0,3.80015928614954e-20,3.6418193158933e-20,2.35657085954872e-23,5.26346502630618e-20
-240,-220,0,9.34687481253696e-20,8.56796857815888e-20,5.79622901777896e-23,1.26796761754323e-19
-240,-210,0,2.20881460409614e-19,1.93271277858412e-19,1.36974205864725e-22,2.93500298397873e-19
-240,-200,0,5.01510833425646e-19,4.17925694521372e-19,3.10999912160799e-22,6.52820878116963e-19
-240,-190,0,1.09403090036465e-18,8.66107796122016e-19,6.7843768294889e-22,1.39536618338475e-18
-240,-180,0,2.2930159493995e-18,1.71976196204963e-18,1.42196163405968e-21,2.86627028946821e-18
-240,-170,0,4.61756248778825e-18,3.27077342885001e-18,2.86347909049951e-21,5.65860851720747e-18
-240,-160,0,8.93401562629512e-18,5.95601041753008e-18,5.54023739400668e-21,1.07373519081216e-17
-240,-150,0,1.66076757492828e-17,1.03797973433017e-17,1.02989026501848e-20,1.95845651661896e-17
-240,-140,0,2.96619181064053e-17,1.73027855620697e-17,1.8394235927753e-20,3.43397162525548e-17
-240,-130,0,5.09000060496613e-17,2.75708366102332e-17,3.1564635076626e-20,5.78874998904765e-17
-240,-120,0,8.39198438870885e-17,4.19599219435442e-17,5.20412852526556e-20,9.38252522290081e-17
-240,-110,0,1.32935120857594e-16,6.09285970597306e-17,8.24372461143209e-20,1.4623285230409e-16
-240,-100,0,2.02321967531936e-16,8.43008198049734e-17,1.25466319336954e-19,2.1918216740324e-16
-240,-90,0,2.95852052089987e-16,1.10944519533745e-16,1.83467465259316e-19,3.15970183404606e-16
-240,-80,0,4.15656309304369e-16,1.38552103101456e-16,2.57762173262716e-19,4.38140296229078e-16
-240,-70,0,5.61076936282544e-16,1.63647439749075e-16,3.47942539838418e-19,5.84455245530951e-16
-240,-60,0,7.27677101911202e-16,1.819192754778e-16,4.51257148347141e-19,7.50072523873037e-16
-240,-50,0,9.06741007115362e-16,1.88904376482367e-16,5.6230103206638e-19,9.26209713629275e-16
-240,-40,0,1.08556557849823e-15,1.80927596416371e-16,6.73196558890989e-19,1.10053981007449e-15
-240,-30,0,1.24869718625754e-15,1.56087148282193e-16,7.74360363172974e-19,1.25841505889764e-15
-240,-20,0,1.380023450489e-15,1.15001954207416e-16,8.55800553489141e-19,1.38480717277376e-15
-240,-10,0,1.46535909970416e-15,6.10566291543401e-17,9.0872030424843e-19,1.46663084272153e-15
-240,0,0,1.49496123676769e-15,0,9.27077672103743e-19,1.49496152422428e-15
-240,10,0,1.46535909970416e-15,-6.10566291543401e-17,9.0872030424843e-19,1.46663084272153e-15
-240,20,0,1.380023450489e-15,-1.15001954207416e-16,8.55800553489141e-19,1.38480717277376e-15
-240,30,0,1.24869718625754e-15,-1.56087148282193e-16,7.74360363172974e-19,1.25841505889764e-15
-240,40,0,1.08556557849823e-15,-1.80927596416371e-16,6.73196558890989e-19,1.10053981007449e-15
-240,50,0,9.06741007115362e-16,-1.88904376482367e-16,5.6230103206638e-19,9.26209713629275e-16
-240,60,0,7.27677101911202e-16,-1.819192754778e-16,4.51257148347141e-19,7.50072523873037e-16
-240,70,0,5.61076936282544e-16,-1.63647439749075e-16,3.47942539838418e-19,5.84455245530951e-16
-240,80,0,4.15656309304369e-16,-1.38552103101456e-16,2.57762173262716e-19,4.38140296229078e-16
-240,90,0,2.95852052089987e-16,-1.10944519533745e-16,1.83467465259316e-19,3.15970183404606e-16
-240,100,0,2.02321967531936e-16,-8.43008198049734e-17,1.25466319336954e-19,2.1918216740324e-16
-240,110,0,1.32935120857594e-16,-6.09285970597306e-17,8.24372461143209e-20,1.4623285230409e-16
-240,120,0,8.39198438870885e-17,-4.19599219435442e-17,5.20412852526556e-20,9.38252522290081e-17
-240,130,0,5.09000060496613e-17,-2.75708366102332e-17,3.1564635076626e-20,5.78874998904765e-17
-240,140,0,2.96619181064053e-17,-1.73027855620697e-17,1.8394235927753e-20,3.43397162525548e-17
-240,150,0,1.66076757492828e-17,-1.03797973433017e-17,1.02989026501848e-20,1.95845651661896e-17
-240,160,0,8.93401562629512e-18,-5.95601041753008e-18,5.54023739400668e-21,1.07373519081216e-17
-240,170,0,4.61756248778825e-18,-3.27077342885001e-18,2.86347909049951e-21,5.65860851720747e-18
-240,180,0,2.2930159493995e-18,-1.71976196204963e-18,1.42196163405968e-21,2.86627028946821e-18
-240,190,0,1.09403090036465e-18,-8.66107796122016e-19,6.7843768294889e-22,1.39536618338475e-18
-240,200,0,5.01510833425646e-19,-4.17925694521372e-19,3.10999912160799e-22,6.52820878116963e-19
-240,210,0,2.20881460409614e-19,-1.93271277858412e-19,1.36974205864725e-22,2.93500298397873e-19
-240,220,0,9.34687481253696e-20,-8.56796857815888e-20,5.79622901777896e-23,1.26796761754323e-19
-240,230,0,3.80015928614954e-20,-3.6418193158933e-20,2.35657085954872e-23,5.26346502630618e-20
-240,240,0,1.48444936587213e-20,-1.48444936587213e-20,9.20542173739682e-24,2.09932862769844e-20
-240,250,0,5.5713082624781e-21,-5.80344610674802e-21,3.45489694767513e-24,8.04484147797819e-21
-230,-250,0,1.36681652257481e-20,1.48567013323349e-20,8.84447198823636e-24,2.01876297108213e-20
-230,-240,0,3.6418193158933e-20,3.80015928614954e-20,2.35657085954872e-23,5.26346502630618e-20
-230,-230,0,9.32298060687529e-20,9.32298060687529e-20,6.03277761138969e-23,1.31846869961615e-19
